name,birthday,nationality
Fernanda Montenegro,1929-10-16,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Wagner Moura,1976-06-27,BRAZIL
Meryl Streep,1949-06-22,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Denzel Washington,1954-12-28,USA
Alice Braga,1983-04-15,BRAZIL
Tom Hanks,1956-07-09,USA
Selton Mello,1972-12-30,BRAZIL
Viola Davis,1965-08-11,USA
Lázaro Ramos,1978-11-01,BRAZIL
Robert De Niro,1943-08-17,USA
Taís Araújo,1978-11-25,BRAZIL
Brad Pitt,1963-12-18,USA
Adriana Esteves,1969-12-15,BRAZIL
Scarlett Johansson,1984-11-22,USA
Cauã Reymond,1980-05-20,BRAZIL
Morgan Freeman,1937-06-01,USA
Bruna Marquezine,1995-08-04,BRAZIL
Joaquin Phoenix,1974-10-28,USA